epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1271.39,1.21017,0.95115,1.36791,0.87813,0.70066,0.80439,0.4503,1.4221,0.70508,1.52647,0.000341077,0.000341077,0.000341077
72,1288.78,1.18633,0.94673,1.35664,0.90027,0.73798,0.79739,0.43106,1.4794,0.72825,1.58141,0.000330078,0.000330078,0.000330078
73,1305.92,1.17959,0.92667,1.35287,0.87605,0.75473,0.79791,0.43596,1.48553,0.73817,1.57661,0.000319079,0.000319079,0.000319079
74,1323.16,1.1846,0.93796,1.35821,0.9042,0.70922,0.84559,0.44408,1.49695,0.73149,1.5874,0.00030808,0.00030808,0.00030808
75,1341.09,1.17362,0.92752,1.34289,0.8113,0.77199,0.84457,0.45552,1.44888,0.71846,1.56573,0.000297081,0.000297081,0.000297081
76,1358.78,1.1745,0.91733,1.33917,0.82945,0.73733,0.79993,0.43106,1.47768,0.73805,1.58177,0.000286083,0.000286083,0.000286083
77,1376.41,1.16946,0.90911,1.34349,0.92766,0.7136,0.81376,0.42907,1.48772,0.71673,1.58602,0.000275084,0.000275084,0.000275084
78,1393.56,1.16316,0.90525,1.33416,0.9006,0.75537,0.82364,0.42897,1.49908,0.7149,1.6001,0.000264085,0.000264085,0.000264085
79,1410.75,1.16617,0.92237,1.3421,0.89192,0.73849,0.80294,0.43426,1.45165,0.71088,1.57146,0.000253086,0.000253086,0.000253086
80,1427.7,1.16109,0.91738,1.34019,0.90109,0.71874,0.81438,0.43378,1.44585,0.71011,1.57573,0.000242087,0.000242087,0.000242087
81,1444.66,1.14704,0.89363,1.3333,0.89025,0.70808,0.82127,0.44105,1.47082,0.71659,1.59057,0.000231088,0.000231088,0.000231088
82,1461.81,1.16278,0.89128,1.33445,0.90065,0.73479,0.83633,0.44734,1.46379,0.69524,1.59077,0.000220089,0.000220089,0.000220089
83,1480.85,1.13952,0.88545,1.32773,0.9082,0.72539,0.82973,0.44857,1.47614,0.71418,1.60304,0.00020909,0.00020909,0.00020909
84,1498.25,1.13482,0.88616,1.32702,0.88329,0.74412,0.80437,0.44144,1.45375,0.69156,1.57613,0.000198091,0.000198091,0.000198091
85,1515.44,1.13918,0.88531,1.31411,0.87345,0.7469,0.81495,0.43167,1.47197,0.71699,1.59959,0.000187092,0.000187092,0.000187092
86,1532.76,1.13305,0.87655,1.31947,0.87878,0.72166,0.78828,0.43134,1.46919,0.71962,1.60239,0.000176094,0.000176094,0.000176094
87,1549.95,1.12604,0.8749,1.31183,0.80656,0.77647,0.82429,0.44093,1.46965,0.70848,1.58702,0.000165095,0.000165095,0.000165095
88,1567.17,1.13224,0.87164,1.31395,0.89075,0.73484,0.83282,0.44402,1.46929,0.70508,1.59639,0.000154096,0.000154096,0.000154096
89,1585.63,1.12992,0.87132,1.3127,0.89349,0.7389,0.82305,0.43822,1.47081,0.697,1.607,0.000143097,0.000143097,0.000143097
90,1603.96,1.11582,0.86324,1.30605,0.9067,0.72959,0.79018,0.42908,1.4923,0.70416,1.61318,0.000132098,0.000132098,0.000132098
91,1621.27,1.06912,0.72839,1.30006,0.91405,0.71879,0.79605,0.43484,1.47997,0.71286,1.62176,0.000121099,0.000121099,0.000121099
92,1638.18,1.06447,0.70927,1.30561,0.84928,0.73282,0.78845,0.43287,1.46181,0.69867,1.60687,0.0001101,0.0001101,0.0001101
93,1655.71,1.04383,0.6926,1.29118,0.85622,0.73919,0.79004,0.43612,1.45929,0.70216,1.59904,9.91012e-05,9.91012e-05,9.91012e-05
94,1673.85,1.0399,0.68897,1.28656,0.84175,0.74262,0.7946,0.43825,1.45715,0.70567,1.59854,8.81023e-05,8.81023e-05,8.81023e-05
95,1691.12,1.02918,0.67817,1.27998,0.83029,0.74209,0.79306,0.43486,1.46727,0.7042,1.61146,7.71034e-05,7.71034e-05,7.71034e-05
96,1708.04,1.02554,0.67189,1.27711,0.77645,0.75292,0.80277,0.43061,1.47678,0.71414,1.62145,6.61045e-05,6.61045e-05,6.61045e-05
97,1727.5,1.01868,0.67224,1.27743,0.89989,0.73713,0.79696,0.43486,1.45965,0.69748,1.60645,5.51056e-05,5.51056e-05,5.51056e-05
98,1745.33,1.00746,0.66613,1.26204,0.91652,0.72648,0.80447,0.43235,1.4641,0.69458,1.61273,4.41067e-05,4.41067e-05,4.41067e-05
99,1762.17,1.01151,0.65797,1.26546,0.84331,0.74796,0.80129,0.43499,1.45875,0.69728,1.60661,3.31078e-05,3.31078e-05,3.31078e-05
100,1779.75,1.00338,0.65669,1.26759,0.92088,0.72996,0.78894,0.43189,1.45996,0.69905,1.60629,2.21089e-05,2.21089e-05,2.21089e-05
